Index,Date: 2022.08.14-16-41-40
0,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.973 ms
1,RSSI: -34
2,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.287 ms
3,RSSI: -34
4,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.951 ms
5,RSSI: -33
6,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.788 ms
7,RSSI: -32
8,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.320 ms
9,RSSI: -32
10,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.620 ms
11,RSSI: -33
12,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.730 ms
13,RSSI: -33
14,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.671 ms
15,RSSI: -34
16,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=19.002 ms
17,RSSI: -34
18,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.883 ms
19,RSSI: -34
20,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.565 ms
21,RSSI: -35
22,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.360 ms
23,RSSI: -34
24,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.794 ms
25,RSSI: -35
26,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.060 ms
27,RSSI: -35
28,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.796 ms
29,RSSI: -35
30,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.227 ms
31,RSSI: -36
32,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.768 ms
33,RSSI: -36
34,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.202 ms
35,RSSI: -36
36,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.055 ms
37,RSSI: -35
38,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.474 ms
39,RSSI: -34
40,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.586 ms
41,RSSI: -34
42,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=19.559 ms
43,RSSI: -35
44,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.764 ms
45,RSSI: -33
46,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=22.835 ms
47,RSSI: -30
48,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.363 ms
49,RSSI: -28
50,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.476 ms
51,RSSI: -31
52,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.080 ms
53,RSSI: -33
54,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.686 ms
55,RSSI: -35
56,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.599 ms
57,RSSI: -36
58,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.048 ms
59,RSSI: -36
60,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.919 ms
61,RSSI: -37
62,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.219 ms
63,RSSI: -38
64,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.806 ms
65,RSSI: -40
66,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.546 ms
67,RSSI: -42
68,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.416 ms
69,RSSI: -44
70,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.666 ms
71,RSSI: -47
72,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.664 ms
73,RSSI: -49
74,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=19.042 ms
75,RSSI: -50
76,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.535 ms
77,RSSI: -52
78,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.372 ms
79,RSSI: -51
80,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.148 ms
81,RSSI: -51
82,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.533 ms
83,RSSI: -51
84,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.453 ms
85,RSSI: -51
86,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.045 ms
87,RSSI: -50
88,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.725 ms
89,RSSI: -51
90,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.290 ms
91,RSSI: -51
92,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.178 ms
93,RSSI: -51
94,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.418 ms
95,RSSI: -50
96,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.732 ms
97,RSSI: -51
98,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.439 ms
99,RSSI: -51
100,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.156 ms
101,RSSI: -50
102,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.841 ms
103,RSSI: -51
104,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.687 ms
105,RSSI: -52
106,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.475 ms
107,RSSI: -52
108,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.065 ms
109,RSSI: -53
110,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.357 ms
111,RSSI: -53
112,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.097 ms
113,RSSI: -54
114,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.524 ms
115,RSSI: -54
116,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.289 ms
117,RSSI: -55
118,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.809 ms
119,RSSI: -55
120,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.382 ms
121,RSSI: -54
122,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.270 ms
123,RSSI: -54
124,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.575 ms
125,RSSI: -54
126,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.389 ms
127,RSSI: -53
128,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.424 ms
129,RSSI: -54
130,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.773 ms
131,RSSI: -54
132,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.805 ms
133,RSSI: -55
134,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.372 ms
135,RSSI: -54
136,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.914 ms
137,RSSI: -54
138,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.754 ms
139,RSSI: -55
140,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.854 ms
141,RSSI: -54
142,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=22.249 ms
143,RSSI: -56
144,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.477 ms
145,RSSI: -57
146,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.149 ms
147,RSSI: -57
148,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.842 ms
149,RSSI: -58
150,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.117 ms
151,RSSI: -58
